Station,year,start_date,start_doy,end_doy,end_date,length,season_rain
Moorings,1922,,,363,28/12/1922,,
Moorings,1923,04/01/1923,4,358,23/12/1923,354,854.7999998
Moorings,1924,29/11/1924,334,366,31/12/1924,32,337.3999999
Moorings,1925,11/01/1925,11,344,09/12/1925,333,773.3999998
Moorings,1926,03/01/1926,3,365,30/12/1926,362,1052.7
Moorings,1927,30/01/1927,30,358,23/12/1927,328,590.2999999
Moorings,1928,01/12/1928,336,365,30/12/1928,29,202.3
Moorings,1929,09/01/1929,9,356,21/12/1929,347,874.9999998
Moorings,1930,12/01/1930,12,359,24/12/1930,347,704.6999999
Moorings,1931,24/01/1931,24,358,23/12/1931,334,628.7999999
Moorings,1932,18/01/1932,18,366,31/12/1932,348,950.2999998
Moorings,1933,01/01/1933,1,362,27/12/1933,361,696.3999998
Moorings,1934,01/01/1934,1,362,27/12/1934,361,817.8999998
Moorings,1935,07/01/1935,7,352,17/12/1935,345,640.3999998
Moorings,1936,09/02/1936,40,366,31/12/1936,326,573.9999998
Moorings,1937,01/01/1937,1,357,22/12/1937,356,764.8999998
Moorings,1938,08/01/1938,8,366,31/12/1938,358,772.8999998
Moorings,1939,01/01/1939,1,365,30/12/1939,364,1265.7
Moorings,1940,11/01/1940,11,362,27/12/1940,351,799.4999998
Moorings,1941,01/01/1941,1,356,21/12/1941,355,930.5999998
Moorings,1942,07/01/1942,7,362,27/12/1942,355,641.0999999
Moorings,1943,03/01/1943,3,356,21/12/1943,353,980.5999998
Moorings,1944,12/01/1944,12,358,23/12/1944,346,612.3999999
Moorings,1945,01/01/1945,1,365,30/12/1945,364,719.5999999
Moorings,1946,06/01/1946,6,364,29/12/1946,358,760.4999998
Moorings,1947,02/12/1947,337,362,27/12/1947,25,248.9999999
Moorings,1948,04/01/1948,4,360,25/12/1948,356,915.0999998
Moorings,1949,14/01/1949,14,352,17/12/1949,338,672.8999999
Moorings,1950,12/01/1950,12,365,30/12/1950,353,876.1999998
Moorings,1951,01/01/1951,1,362,27/12/1951,361,716.6999998
Moorings,1952,02/01/1952,2,350,15/12/1952,348,1153.2
Moorings,1953,04/01/1953,4,360,25/12/1953,356,1214.7
Moorings,1954,06/01/1954,6,365,30/12/1954,359,1069.8
Moorings,1955,04/01/1955,4,363,28/12/1955,359,707.9999999
Moorings,1956,04/01/1956,4,349,14/12/1956,345,979.0999998
Moorings,1957,06/01/1957,6,361,26/12/1957,355,874.1999998
Moorings,1958,08/01/1958,8,365,30/12/1958,357,1134.1
Moorings,1959,30/01/1959,30,364,29/12/1959,334,706.6999998
Moorings,1960,25/01/1960,25,365,30/12/1960,340,464.9999999
Moorings,1961,08/01/1961,8,361,26/12/1961,353,791.0999999
Moorings,1962,03/01/1962,3,363,28/12/1962,360,892.4999998
Moorings,1963,01/01/1963,1,347,12/12/1963,346,812.1999998
Moorings,1964,03/01/1964,3,366,31/12/1964,363,982.0999997
Moorings,1965,01/01/1965,1,355,20/12/1965,354,452.6999999
Moorings,1966,17/01/1966,17,355,20/12/1966,338,784.8999999
Moorings,1967,02/01/1967,2,360,25/12/1967,358,778.6999998
Moorings,1968,10/01/1968,10,366,31/12/1968,356,817.3999998
Moorings,1969,01/01/1969,1,364,29/12/1969,363,875.0999998
Moorings,1970,05/01/1970,5,361,26/12/1970,356,820.9999998
Moorings,1971,01/01/1971,1,366,31/12/1971,365,939.8999998
Moorings,1972,02/01/1972,2,365,30/12/1972,363,532.9999999
Moorings,1973,18/12/1973,353,362,27/12/1973,9,104.7
Moorings,1974,01/01/1974,1,365,30/12/1974,364,1112.9
Moorings,1975,01/01/1975,1,361,26/12/1975,360,738.2999998
Moorings,1976,13/01/1976,13,360,25/12/1976,347,742.0999999
Moorings,1977,19/01/1977,19,364,29/12/1977,345,643.6999999
Moorings,1978,07/01/1978,7,359,24/12/1978,352,1307.7
Moorings,1979,04/01/1979,4,358,23/12/1979,354,887.4999998
Moorings,1980,24/11/1980,329,363,28/12/1980,34,226.5999999
Moorings,1981,12/01/1981,12,355,20/12/1981,343,751.3999998
Moorings,1982,04/01/1982,4,344,09/12/1982,340,655.2299998
Moorings,1983,13/01/1983,13,365,30/12/1983,352,722.4999997
Moorings,1984,03/02/1984,34,359,24/12/1984,325,565.7999998
Moorings,1985,13/01/1985,13,364,29/12/1985,351,641.5999998
Moorings,1986,01/01/1986,1,365,30/12/1986,364,997.5999996
Moorings,1987,02/01/1987,2,362,27/12/1987,360,477.0999999
Moorings,1988,19/01/1988,19,353,18/12/1988,334,515.1999998
Moorings,1989,09/01/1989,9,363,28/12/1989,354,829.7999998
Moorings,1990,01/01/1990,1,366,31/12/1990,365,907.8999997
Moorings,1991,01/01/1991,1,357,22/12/1991,356,485.2999999
Moorings,1992,18/12/1992,353,365,30/12/1992,12,151.2999999
Moorings,1993,02/01/1993,2,333,28/11/1993,331,592.4999998
Moorings,1994,04/01/1994,4,365,30/12/1994,361,511.0999998
Moorings,1995,21/11/1995,326,365,30/12/1995,39,256.1999999
Moorings,1996,15/01/1996,15,364,29/12/1996,349,846.0999998
Moorings,1997,05/01/1997,5,364,29/12/1997,359,908.2999999
Moorings,1998,02/01/1998,2,366,31/12/1998,364,788.1999998
Moorings,1999,02/01/1999,2,365,30/12/1999,363,945.7999996
Moorings,2000,01/01/2000,1,365,30/12/2000,364,877.8999999
Moorings,2001,01/01/2001,1,356,21/12/2001,355,1026.2
Moorings,2002,09/01/2002,9,359,24/12/2002,350,480.1999999
Moorings,2003,02/01/2003,2,363,28/12/2003,361,736.6999999
Moorings,2004,,,366,31/12/2004,,
Moorings,2005,18/01/2005,18,361,26/12/2005,343,758.8999999
Moorings,2006,05/01/2006,5,365,30/12/2006,360,930.8999999
Moorings,2007,02/01/2007,2,365,30/12/2007,363,1049.7
Moorings,2008,01/01/2008,1,363,28/12/2008,362,1017.6
Moorings,2009,25/01/2009,25,363,28/12/2009,338,698.4999999
Moorings,2010,06/01/2010,6,112,21/04/2010,106,564.9
