id,created_at,modified_at,description,title,cover_image,resource_collections,resource_files,resource_links,collection_parent,sort_order
cropResources,2024-04-04 06:13:00.354578+00,2024-04-04 06:13:00.354578+00,Resources to help care for crops,"Crop, Pest & Disease",global/resources/covers/crops.svg,,"[""gap"",""bmtm""]","[""accessAg"",""plantwise"",""plantix"",""zaulimi"",""mlimi"",""daes_v2""]",,7
genderCollection,2024-04-04 06:13:00.354578+00,2024-04-04 06:13:00.354578+00,Materials to help incorporate gender within extension services,Gender,global/resources/covers/gender-equality.svg,,,"[""womenInExtension"",""gfrasNelk""]",,1
picsaManual,2024-04-04 06:13:00.354578+00,2024-04-04 06:13:00.354578+00,PICSA training manuals available in a variety of languages,PICSA Manual,global/resources/covers/picsa-field-manual.jpg,,"[""picsa_manual"",""picsa_manual_farmer"",""picsa_manual_chichewa"",""picsa_manual_chichewa_farmer"",""picsa_manual_tumbuka"",""picsa_manual_tajik""]",,,10.1
picsa_videos,2024-04-04 06:13:00.354578+00,2024-04-04 06:13:00.354578+00,Training videos to support PICSA,PICSA Videos,global/resources/covers/videos.svg,"[""picsa_videos_extension"",""picsa_videos_farmer""]",,,,10
picsa_videos_extension,2024-04-04 06:13:00.354578+00,2024-04-04 06:13:00.354578+00,Training videos to support PICSA,Extension Videos,global/resources/covers/placeholder.svg,,"[""ram_refresher""]",,picsa_videos,10
picsa_videos_farmer,2024-04-04 06:13:00.354578+00,2024-04-04 06:13:00.354578+00,Training videos to support PICSA,Farmer Videos,global/resources/covers/placeholder.svg,,"[""farmer_ram_mw_ny_360p"",""farmer_seasonal_calendar_mw_ny_360p"",""farmer_historic_climate_mw_ny_360p"",""farmer_probability_risk_mw_ny_360p"",""farmer_options_mw_ny_360p"",""farmer_participatory_budget_mw_ny_360p"",""farmer_ram_zm_ny_360p"",""farmer_seasonal_calendar_zm_ny_360p"",""farmer_historic_climate_zm_ny_360p"",""farmer_probability_risk_zm_ny_360p"",""farmer_options_zm_ny_360p"",""farmer_participatory_budget_zm_ny_360p""]",,picsa_videos,10
weatherResources,2024-04-04 06:13:00.354578+00,2024-04-04 06:13:00.354578+00,Local forecasts and meterological services,Weather Resources,global/resources/covers/weather.svg,"[""weatherResources_Zambia_Chipata"",""weatherResources_Zambia_Petauke"",""weatherResources_Malawi_Kasungu"",""weatherResources_Malawi_Nkhotakota""]",,"[""zmdWhatsapp"",""zmdFacebook"",""dccms_daily_forecast"",""dccms_facebook"",""dccms_twitter""]",,6
weatherResources_Malawi_Kasungu,2024-04-04 06:13:00.354578+00,2024-04-04 06:13:00.354578+00,Local information for Kasungu,Kasungu,global/resources/covers/placeholder.svg,,"[""downscaled_forecast_2023_kasungu_en"",""downscaled_forecast_2023_kasungu_ny"",""monthly_forecasts_2023_kasungu""]",,weatherResources,1
weatherResources_Malawi_Nkhotakota,2024-04-04 06:13:00.354578+00,2024-04-04 06:13:00.354578+00,Local information for Nkhotakota,Nkhotakota,global/resources/covers/placeholder.svg,,"[""downscaled_forecast_2023_nkhotakota_en"",""monthly_forecasts_2023_nkhotakota"",""downscaled_forecast_2023_nkhotakota_ny""]",,weatherResources,1
weatherResources_Zambia_Chipata,2024-04-04 06:13:00.354578+00,2024-04-04 06:13:00.354578+00,Local information for Chipata,Chipata,global/resources/covers/placeholder.svg,,"[""seasonal_forecast_2023_chipata"",""rainfall_forecast_2023_zm"",""rainfall_forecast_2023_zm_ny""]","[""wmo_Zambia_Chipata"",""meteoBlue_Zambia_Chipata_7day"",""meteoBlue_Zambia_Chipata_mapWidget"",""meteoBlue_Zambia_Chipata_seasonalForecast""]",weatherResources,1
weatherResources_Zambia_Petauke,2024-04-04 06:13:00.354578+00,2024-04-04 06:13:00.354578+00,Local information for Petauke,Petauke,global/resources/covers/placeholder.svg,,"[""seasonal_forecast_2023_petauke"",""rainfall_forecast_2023_zm"",""rainfall_forecast_2023_zm_ny""]","[""meteoBlue_Zambia_Petauke_7day"",""meteoBlue_Zambia_Petauke_mapWidget"",""meteoBlue_Zambia_Petauke_seasonalForecast""]",weatherResources,1