Year,Rainfall,Start,End,Length
1952,693.2,,295,
1953,472.1,135,275,140
1954,921.7,133,304,171
1955,731.9,233,297,64
1956,786.8,160,297,137
1957,726.2,179,271,92
1958,859.2,149,292,143
1959,689.8,209,300,91
1960,799.5,151,272,121
1961,922.3,168,291,123
1962,743.3,185,298,113
1963,635,152,254,102
1964,784.9,146,291,145
1965,722.3,227,295,68
1966,1063.9,208,298,90
1967,409.9,198,294,96
1968,802.7,134,283,149
1969,0,,,
1970,954.5,148,270,122
1971,554.1,154,285,131
1972,582.9,148,291,143
1973,878,152,279,127
1974,505.9,160,281,121
1975,746.1,186,301,115
1976,571.8,160,262,102
1977,827.3,151,301,150
1978,999,137,290,153
1979,662.7,150,292,142
1980,976.5,158,305,147
1981,754.8,154,299,145
1982,488.6,207,300,93
1983,561.4,175,297,122
1984,947.9,167,287,120
1985,1132.7,133,298,165
1986,738.4,115,292,177
1987,801.1,167,288,121
1988,1295,115,304,189
1989,695.3,143,273,130
1990,487.1,148,282,134
1991,426.2,248,267,19
1992,414.7,140,239,99
1993,712.3,130,270,140
1994,574.1,158,276,118
1995,1330,164,280,116
1996,1425.1,151,278,127
1997,610.9,,263,
1998,943.3,151,276,125
1999,665.9,189,264,75
2000,1108.4,119,281,162
2001,713.6,170,268,98
2002,784.5,158,280,122
2003,618.2,202,275,73
2004,474.1,120,210,90
2005,989.8,153,272,119
2006,1050,137,273,136
2007,664.7,158,260,102
2008,744.5,165,276,111
2009,372.5,146,277,131
2010,873.1,147,279,132
2011,661.9,,276,
2012,714.1,158,247,89
2013,630,167,278,111
2014,960.3,162,269,107
2015,495.2,168,284,116
2016,671.9,174,269,95
2017,641.6,134,271,137
2018,888,147,262,115
2019,664,184,229,45
2020,438.4,173,273,100