Year,Start,End,Length,Rainfall
1926,,289,,746
1927,,278,,859.1
1928,,260,,754.6
1929,,289,,962.4
1930,,296,,930.7
1931,,303,,885.6
1932,176,269,93,878.6
1933,154,268,114,910.1
1934,,298,,1195.2
1935,,297,,1018.4
1936,152,280,128,926.2
1937,,285,,1088.4
1938,,301,,978.2
1939,,212,,228.7
1940,,,,
1941,,,,
1942,,,,
1943,,273,,737.8
1944,,273,,1141.3
1945,,,,
1946,140,280,140,1360.5
1947,142,287,145,1190.8
1948,188,266,78,538.9
1949,157,284,127,1684
1950,,,,
1951,,294,,1020.8
1952,154,280,126,1133.5
1953,154,274,120,613
1954,133,305,172,1309.4
1955,154,281,127,1336.5
1956,138,296,158,1263.8
1957,161,284,123,915.1
1958,,284,,930
1959,164,287,123,918.5
1960,167,288,121,1165.4
1961,132,303,171,1121.7
1962,132,276,144,1138.2
1963,128,267,139,1013.4
1964,150,288,138,1104.8
1965,144,256,112,1103.3
1966,135,297,162,1336.7
1967,160,296,136,766.1
1968,134,298,164,1392.2
1969,154,251,97,1006.6
1970,149,296,147,1148.3
1971,133,302,169,1121.2
1972,153,287,134,1024.9
1973,147,302,155,1496.8
1974,151,281,130,913.8
1975,147,296,149,1279.1
1976,160,270,110,896.5
1977,158,280,122,1496
1978,122,289,167,1240.3
1979,145,290,145,940.5
1980,156,304,148,905.6
1981,220,295,75,742.5
1982,184,281,97,866.9
1983,164,272,108,579.8
1984,129,283,154,1041.7
1985,141,293,152,1319.3
1986,157,277,120,1239.3
1987,155,263,108,888
1988,172,289,117,1330.9
1989,142,305,163,1111.8
1990,,236,,655.1
1991,162,272,110,391.1
1992,,294,,521.4
1993,129,272,143,317.2
1994,185,238,53,336.7
1995,161,259,98,736.7
1996,166,284,118,997.9
1997,142,266,124,1087.8
1998,164,284,120,790.5
1999,,285,,629.2
2000,122,289,167,1379.9
2001,171,291,120,1064
2002,157,279,122,1312.8
2003,151,294,143,1004.6
2004,148,297,149,1013.396185
2005,167,300,133,1540.400001
2006,135,273,138,947.4880791
2007,117,247,130,974.5990463
2008,,266,,1289.193324
2009,,279,,721.3000004
2010,143,283,140,1118.594278
2011,150,275,125,860.5990463
2012,163,262,99,1022.596662
2013,144,282,138,1042.8
2014,,275,,627.2000005
2015,153,266,113,426.6
2016,142,290,148,872.3961853
2017,159,288,129,1057.594278