Year,Start,End,Length,Rainfall,max_tmax,max_tmin,min_tmax,min_tmin,mean_tmax,mean_tmin,Extreme_events
1959,,296,,1026,,,,,,,
1960,131,305,174,1293,,,,,,,
1961,116,309,193,1490,,,,,,,
1962,137,292,155,1136,,,,,,,
1963,128,285,157,1173,,,,,,,
1964,135,293,158,967,,,,,,,
1965,126,302,176,1383,,,,,,,
1966,132,308,176,1050,,,,,,,
1967,123,280,157,1153,29.1,17.3,23.7,15,26,16.2,
1968,135,298,163,1128,29.4,18.7,16.2,16.2,25.6,17.1,
1969,102,277,175,1052,29.5,18.3,21.6,15.5,26.9,17,
1970,128,289,161,1445,29.3,17.8,20.9,14.5,25.7,16.4,
1971,141,301,160,1027,30.2,18.3,18.9,14.2,26.1,16.3,
1972,130,302,172,1072,30.3,18.9,25,15.7,27.8,17.6,
1973,133,300,167,1071,30.2,17.6,24.3,14.6,27.2,16.4,
1974,127,289,162,1161,31.5,18,22.8,15,27.5,16.6,
1975,157,318,161,1247,31.4,17.6,22.9,15.4,27.3,16.6,
1976,132,291,159,998,31.4,18.4,22.6,15.6,27.6,16.8,
1977,116,312,196,1154,29.7,18.5,23.8,15.7,27.2,17.2,
1978,134,317,183,1572,30.5,18.3,22.3,15.2,26.5,17.1,
1979,133,313,180,1357,31.8,18.2,22.2,14.4,27.2,16.6,
1980,117,292,175,1116,30,18.4,23.1,15.5,27.3,16.8,
1981,141,289,148,894,30.4,18.5,25.2,15.4,28.4,16.9,
1982,112,260,148,1224,30.3,18.7,23.2,14.3,27.6,17,
1983,107,295,188,1178,30.2,18,20,15,26.9,16.8,
1984,134,301,167,1238,30.6,18.3,20,13.9,26.4,16.8,
1985,121,313,192,1292,30,18,24.8,16.4,26.9,17.2,
1986,107,302,195,1175,30.3,18.3,21.6,15.3,26.8,16.9,
1987,150,298,148,799,33.5,19.4,25.2,16.2,29.1,17.6,
1988,115,301,186,1103,30.7,18.5,24,15.4,27.5,16.8,
1989,139,299,160,1206,29.5,18.9,21.4,15.9,27.6,17,
1990,154,302,148,1096,31.5,18.5,21.5,15,28,16.6,
1991,145,300,155,913,30,18.9,23.5,15,27.2,16.9,
1992,160,293,133,961,32,18.3,22.7,14,27.7,16.9,
1993,123,283,160,822,31.7,18,26,15.5,29,16.8,
1994,156,290,134,919,31.6,18.6,24.5,14,28.3,17.2,
1995,137,298,161,1184,30.8,18.5,22.2,15.8,27.4,17,
1996,142,303,161,934,32.5,19.1,20.2,16,27.6,17.2,
1997,139,287,148,,29.5,18.4,22.5,15.8,26.3,17.4,
1998,145,306,161,1376,31.2,18.4,21.8,15,27.7,16.9,
1999,129,,,,,,,,,,
2000,,296,,1343,,,,,,,
2001,124,308,184,1337,,,,,,,
2002,148,,,,,,,,,,
2003,167,301,134,1008,,,,,,,
2004,121,284,163,1179,,,,,,,
2005,,301,,,,,,,,,
2006,135,277,142,1193,32,18.9,20.5,15.9,27.1,17.6,
2007,116,288,172,1090,30.8,18.4,23,15.2,27,16.8,
2008,132,298,166,1446,31.4,18.3,21,14.4,28.4,16.4,
2009,131,292,161,971,31.8,18.7,24.7,16,28.4,17.6,
2010,142,299,157,1160,31.7,17.5,23.4,14.7,28.1,15.9,
2011,119,293,174,1200,31.5,18.6,22,15.7,27.6,17.4,
2012,141,287,146,1069,31.5,,21.6,,27.2,,
2013,145,305,160,1060,32.7,19,23.9,16.7,28.3,17.9,
2014,143,311,168,1209,32,,24.6,,28.4,,
2015,159,294,135,850,31.2,19.2,22.6,16.7,27.9,18.2,
2016,159,319,160,1104,32.6,19,24.6,16.6,29.4,17.7,
2017,140,309,169,,30.4,18.2,24.8,11.9,28.6,17,
2018,149,292,143,1038,30.9,18.1,23.6,15.4,27.7,17.1,
2019,139,296,157,1258,31,17.9,24,15,27.7,16.9,
2020,,293,,1033,30.3,19.7,24,16.1,27.4,17.5,
2021,175,299,124,1196,35.4,18,28.6,14.9,31.9,16.6,
2022,129,,,,30.1,17,22,15,26.9,16.1,
2023,,,,,,,,,,,
2024,,315,,,,18.6,,11,,15.4,
2025,,,,,,10.2,,2,,6.9,