tool,context,text
"budget","activities","purchase"
"budget","activities","value addition"
"budget","activities","marketing and selling"
"budget","activities","weeding"
"budget","activities","watering"
"budget","activities","transport"
"budget","activities","threshing"
"budget","activities","storage"
"budget","activities","sowing"
"budget","activities","shelling"
"budget","activities","post-harvest handling"
"budget","activities","ploughing"
"budget","activities","mulching"
"budget","activities","land clearing"
"budget","activities","harvesting"
"budget","activities","compost manure making"
"budget","activities","banding"
"budget","activities","bagging"
"budget","activities","apply pesticide"
"budget","activities","apply fertiliser"
"budget","activities","vaccinate"
"budget","activities","transport livestock"
"budget","activities","relocation"
"budget","activities","provide water"
"budget","activities","provide supplements"
"budget","activities","feeding livestock"
"budget","activities","dipping"
"budget","activities","build housing"
"budget","enterprise","afforestation"
"budget","enterprise","tomatoes"
"budget","enterprise","sweet potatoes"
"budget","enterprise","soya beans"
"budget","enterprise","sorghum"
"budget","enterprise","rice"
"budget","enterprise","pigeon peas"
"budget","enterprise","onions"
"budget","enterprise","maize"
"budget","enterprise","groundnuts"
"budget","enterprise","cowpeas"
"budget","enterprise","fish"
"budget","enterprise","watermelon"
"budget","enterprise","paw-paw"
"budget","enterprise","mixed"
"budget","enterprise","sheep"
"budget","enterprise","pigs"
"budget","enterprise","guinea fowl"
"budget","enterprise","goats"
"budget","enterprise","ducks"
"budget","enterprise","chicken"
"budget","enterprise","cattle"
"budget","inputs","labour - paid"
"budget","inputs","money"
"budget","inputs","transportation hire"
"budget","inputs","wood"
"budget","inputs","tractor hire"
"budget","inputs","tools"
"budget","inputs","sheller hire"
"budget","inputs","seeds"
"budget","inputs","protective equipment"
"budget","inputs","pot for storage"
"budget","inputs","ox cart"
"budget","inputs","manure wheelbarrows"
"budget","inputs","manure sacks"
"budget","inputs","fertiliser"
"budget","inputs","chemicals"
"budget","inputs","bags"
"budget","inputs","vaccine"
"budget","inputs","supplements"
"budget","inputs","housing"
"budget","inputs","feed"
"budget","other","family labour"
"budget","other","add custom"
"budget","outputs","money"
"budget","outputs","wood"
"budget","outputs","crop"
"budget","outputs","milk"
"budget","outputs","meat"
"budget","outputs","manure for compost"
"budget","outputs","fodder for livestock"
"budget","outputs","eggs"
"budget",,"title"
"budget",,"starting in"
"budget",,"description"
"budget",,"What is your type of enterprise?"
"budget",,"Values"
"budget",,"Total"
"budget",,"Title"
"budget",,"Summary"
"budget",,"Show More"
"budget",,"Share as Picture"
"budget",,"Share Budget"
"budget",,"Share App Link"
"budget",,"Select Enterprise"
"budget",,"Select"
"budget",,"Saved Budgets"
"budget",,"Save your budget"
"budget",,"Save"
"budget",,"Quantity"
"budget",,"Outputs"
"budget",,"Next"
"budget",,"Length"
"budget",,"Inputs"
"budget",,"Increase Scale"
"budget",,"Import Budget Code"
"budget",,"How long is your budget for?"
"budget",,"Family"
"budget",,"Enterprise"
"budget",,"Description (optional)"
"budget",,"Decrease Scale"
"budget",,"Days"
"budget",,"Create New Budget"
"budget",,"Cost"
"budget",,"Consumed"
"budget",,"Close"
"budget",,"Balance"
"budget",,"Add Member"
"budget",,"Activities"
"climate","chart","Length of season is defined as the total days from the start of the season until the end of the season as defined"
"climate","chart","Length of season"
"climate","chart","Length of Season"
"climate","chart","End of season is defined as the last day in the season (1st October - 30th April) with more than 10mm of rainfall."
"climate","chart","End of Season"
"climate","chart","End of Season"
"climate","chart","Start of season is defined as the first occasion (from 1st October) with more than 25mm in a 3 day period and no dry spell of 10 days or more within the following 30 days"
"climate","chart","Start of Season"
"climate","chart","Start of Season"
"climate","chart","Seasonal rainfall is defined as the total rain recorded from the start of the season until the end of the season"
"climate","chart","Seasonal Total Rainfall (mm)"
"climate","chart","Seasonal Rainfall"
"climate",,"years out of every 10"
"climate",,"satisfy"
"climate",,"out of"
"climate",,"Year"
"climate",,"Tools"
"climate",,"Station"
"climate",,"Show Tool Options"
"climate",,"Share Chart"
"climate",,"Share App Link"
"climate",,"Share"
"climate",,"Seasonal Total Rainfall"
"climate",,"Print Version"
"climate",,"On average"
"climate",,"Hide Tool Options"
"climate",,"Definition"
"climate",,"Close"
"climate",,"Chart"
"climate",,"Analyse"
"monitoring",,"Forms"
"resources",,"Resources"
"resources",,"Collection not found"